,Unnamed: 0,dien_tich,huong_ban_cong,phong_ngu,id_thanh_pho,ten_thanh_pho,id_quan,ten_quan,so_tang,mat_tien,noi_that,huong_nha,so_do,lat,long,gia,gia_m2,du_an,project_name,id_duong,ten_duong,do_rong_duong,do_rong_duong_ml,id_phuong,ten_phuong
8878,8878,47.0,,2.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,15.0,,,,Hợp đồng mua bán,21.0439297,105.872546,2200.0,46.808511,,,5e958ee9208d0d6d7648fc0a,Đường Nguyễn Văn Cừ,,,5e5501cbeb80a7245175e111,Phường Bồ Đề
8879,8879,62.0,,2.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,6.0,,,Đông Nam,Sổ hồng,21.0552203,105.905288,1560.0,25.16129,,,5e958ee9208d0d6d7648fb47,Đường Đoàn Khuê,,,5e5501cbeb80a7245175e10d,Phường Việt Hưng
8880,8880,124.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,19.0,,,,Sổ đỏ,21.0456395,105.8768018,5500.0,44.354839,5e5501fbeb80a7245176a78c,Berriver Long Biên,,,,,,
8881,8881,50.0,,2.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,15.0,,,,Sổ đỏ,21.0575538,105.9024322,1650.0,33.0,5e5501fbeb80a7245176a799,Việt Hưng,5e958ee9208d0d6d7648fb4e,Đường Gia Thụy,,,5e5501cbeb80a7245175e10d,Phường Việt Hưng
8882,8882,70.0,,4.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,4.0,,,,,21.0216695,105.9141793,1900.0,27.142857,5e5501fbeb80a7245176a796,Thạch Bàn,5e958ee9208d0d6d7648fcb3,Đường Thạch Bàn,4.0,Ngõ 1 ô tô,5e5501cbeb80a7245175e113,Phường Long Biên
8883,8883,66.0,,1.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,,,,,Sổ hồng/ Sổ đỏ,21.0739281,105.8973716,1000.0,15.151515,5e5501fbeb80a7245176a783,Khu đô thị Thượng Thanh,,,,,5e5501cbeb80a7245175e109,Phường Thượng Thanh
8884,8884,87.0,,2.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,,,,,,21.0461519,105.9156477,2697.0,31.0,5e5501fbeb80a7245176a79c,Vinhomes Riverside,5e958ee9208d0d6d7648fbda,Đường Huỳnh Văn Nghệ,,,5e5501cbeb80a7245175e115,Phường Phúc Đồng
8885,8885,72.0,,2.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,,,,,Sổ hồng/ Sổ đỏ,21.0674567,105.9200531,2000.0,27.777778,,,,,,,,
8886,8886,70.0,,4.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,4.0,4.0,,,,21.0739281,105.8973716,1900.0,27.142857,5e5501fbeb80a7245176a783,Khu đô thị Thượng Thanh,5e958ee9208d0d6d7648fcbb,Đường Thượng Thanh,4.0,Ngõ 1 ô tô,5e5501cbeb80a7245175e113,Phường Long Biên
8887,8887,63.0,,2.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,6.0,,,,Hợp đồng mua bán,21.048956,105.8862812,2100.0,33.333333,,,5e958ee9208d0d6d7648fb4e,Đường Gia Thụy,,,5e5501cbeb80a7245175e10d,Phường Việt Hưng
8888,8888,120.0,,3.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,3.0,,,,Sổ đỏ,21.0575538,105.9024322,3900.0,32.5,5e5501fbeb80a7245176a799,Việt Hưng,5e958ee9208d0d6d7648fcd5,Phố Việt Hưng,,,5e5501cbeb80a7245175e10b,Phường Giang Biên
8889,8889,80.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,2.0,,,,,21.0404889,105.8735636,1500.0,18.75,,,,,,,,
8890,8890,68.0,,-3.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,10.0,,,,Sổ hồng,21.0552203,105.905288,1800.0,26.470588,,,,,,,,
8891,8891,69.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,18.0,,,,,21.0739281,105.8973716,1800.0,26.086957,5e5501fbeb80a7245176a783,Khu đô thị Thượng Thanh,5e958ee9208d0d6d7648fbfc,Đường Lý Sơn,,,5e5501cbeb80a7245175e109,Phường Thượng Thanh
8892,8892,114.0,,4.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,3.0,,,Đông Nam,Sổ hồng,21.0439297,105.872546,5040.0,44.210526,,,5e958ee9208d0d6d7648fc0a,Đường Nguyễn Văn Cừ,,,5e5501cbeb80a7245175e111,Phường Bồ Đề
8893,8893,68.0,,2.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,15.0,,,,,21.0552203,105.905288,1790.0,26.323529,,,5e958ee9208d0d6d7648fb47,Đường Đoàn Khuê,,,5e5501cbeb80a7245175e10b,Phường Giang Biên
8894,8894,93.2,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,,,,Đông-Nam,,21.0498441,105.9173455,,,,,5e958ee9208d0d6d7648fbf8,Đường Long Biên,,,5e5501cbeb80a7245175e113,Phường Long Biên
8895,8895,59.0,,2.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,2.0,,,,,21.0739281,105.8973716,944.0,16.0,5e5501fbeb80a7245176a783,Khu đô thị Thượng Thanh,5e958ee9208d0d6d7648fb4d,Đường Gia Quất,,,5e5501cbeb80a7245175e109,Phường Thượng Thanh
8896,8896,70.0,,2.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,,,,,,21.0381908,105.9342071,1900.0,27.142857,,,5e958ee9208d0d6d7648fc92,Đường Phúc Lợi,,,5e5501cbeb80a7245175e110,Phường Phúc Lợi
